State_Fips,County_Fips,State,County,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019
20,105,Kansas,Lincoln County,3244,3234,3181,3161,3184,3142,3077,3043,2998,2962
20,107,Kansas,Linn County,9626,9612,9485,9543,9536,9580,9606,9697,9771,9703
20,109,Kansas,Logan County,2774,2766,2794,2775,2768,2787,2818,2814,2812,2794
20,111,Kansas,Lyon County,33648,33652,33550,33479,33143,33133,33369,33257,33300,33195
20,113,Kansas,McPherson County,29128,29154,29221,29415,28896,28648,28429,28687,28528,28542
20,115,Kansas,Marion County,12671,12545,12376,12205,12188,12053,12017,11945,11923,11884
20,117,Kansas,Marshall County,10111,9983,10026,9973,9945,9845,9789,9687,9715,9707
20,119,Kansas,Meade County,4596,4519,4378,4286,4357,4301,4236,4230,4098,4033
20,121,Kansas,Miami County,32882,32737,32669,32834,32868,32758,32923,33429,33737,34237
20,123,Kansas,Mitchell County,6336,6284,6301,6309,6248,6294,6207,6137,6110,5979
20,125,Kansas,Montgomery County,35349,34779,34472,34444,34090,33436,32859,32390,32091,31829
20,127,Kansas,Morris County,5918,5864,5849,5719,5664,5628,5558,5467,5557,5620
20,129,Kansas,Morton County,3240,3176,3127,3116,3041,2953,2790,2747,2693,2587
20,131,Kansas,Nemaha County,10159,10088,10067,10092,10087,10094,10089,10060,10125,10231
20,133,Kansas,Neosho County,16475,16447,16420,16383,16325,16287,16127,16094,16025,16007
20,135,Kansas,Ness County,3104,3118,3077,3087,3089,3020,2957,2856,2796,2750
20,137,Kansas,Norton County,5664,5656,5586,5614,5534,5536,5491,5421,5419,5361
20,139,Kansas,Osage County,16274,16341,16176,16080,15970,15865,15811,15842,15938,15949
20,141,Kansas,Osborne County,3850,3833,3809,3800,3752,3641,3588,3539,3459,3421
20,143,Kansas,Ottawa County,6096,6064,6029,6044,6030,5934,5905,5817,5752,5704
20,145,Kansas,Pawnee County,6980,6978,6863,6863,6822,6769,6719,6665,6573,6414
20,147,Kansas,Phillips County,5632,5541,5521,5560,5494,5420,5402,5370,5276,5234
20,149,Kansas,Pottawatomie County,21727,22028,22331,22574,22740,23123,23605,23916,24209,24383
20,151,Kansas,Pratt County,9641,9644,9758,9778,9768,9697,9557,9500,9340,9164
20,153,Kansas,Rawlins County,2496,2508,2509,2563,2543,2506,2500,2473,2502,2530
20,155,Kansas,Reno County,64552,64429,64205,64079,63701,63596,63184,62714,62331,61998
20,157,Kansas,Republic County,4938,4892,4826,4767,4741,4688,4659,4654,4652,4636
20,159,Kansas,Rice County,10115,10097,9990,9978,9971,9925,9782,9563,9483,9537
20,161,Kansas,Riley County,71551,73424,77497,76923,76479,77185,75172,73977,74712,74232
20,163,Kansas,Rooks County,5195,5200,5221,5195,5204,5179,5118,5055,4995,4920
20,165,Kansas,Rush County,3314,3211,3208,3176,3161,3098,3054,3048,3056,3036
20,167,Kansas,Russell County,7001,6987,6990,6977,7007,7044,7007,6930,6902,6856
20,169,Kansas,Saline County,55780,55778,55829,55750,55511,55429,54955,54508,54387,54224
20,171,Kansas,Scott County,4959,4889,4853,4906,4966,4948,4979,4928,4909,4823
20,173,Kansas,Sedgwick County,499128,501011,504101,506442,508968,511083,513092,513176,513484,516042
20,175,Kansas,Seward County,22970,23128,23353,23311,23303,23273,22897,22245,21902,21428
20,177,Kansas,Shawnee County,178360,178948,178975,178650,178567,178689,178350,178056,177290,176875
20,179,Kansas,Sheridan County,2530,2502,2491,2500,2502,2475,2485,2526,2522,2521
20,181,Kansas,Sherman County,6018,6053,6120,6090,6067,5964,5955,5936,5917,5917
20,183,Kansas,Smith County,3860,3791,3753,3699,3729,3689,3656,3615,3590,3583
20,185,Kansas,Stafford County,4429,4380,4350,4339,4281,4215,4186,4186,4162,4156
20,187,Kansas,Stanton County,2246,2213,2155,2178,2141,2070,2105,2055,2025,2006
20,189,Kansas,Stevens County,5752,5631,5738,5808,5840,5789,5653,5551,5536,5485
20,191,Kansas,Sumner County,24118,23787,23635,23537,23384,23417,23183,23117,23019,22836
20,193,Kansas,Thomas County,7930,7941,7933,7933,7836,7895,7847,7821,7710,7777
20,195,Kansas,Trego County,3006,2954,2941,2945,2895,2907,2852,2843,2797,2803
20,197,Kansas,Wabaunsee County,7049,7038,6994,7025,6938,6887,6884,6832,6912,6931
20,199,Kansas,Wallace County,1480,1526,1523,1560,1501,1505,1502,1515,1489,1518
20,201,Kansas,Washington County,5785,5820,5727,5626,5610,5568,5564,5479,5450,5406
20,203,Kansas,Wichita County,2239,2259,2228,2192,2188,2167,2131,2121,2112,2119
20,205,Kansas,Wilson County,9389,9238,9120,9091,8970,8845,8698,8707,8666,8525
20,207,Kansas,Woodson County,3308,3322,3275,3215,3187,3144,3189,3130,3184,3138
20,209,Kansas,Wyandotte County,157633,158011,159379,160933,162246,163682,164785,165087,165321,165429
21,0,Kentucky,Kentucky,4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673
21,1,Kentucky,Adair County,18757,18987,18934,19124,19262,19162,19259,19287,19199,19202
21,3,Kentucky,Allen County,20037,20176,20232,20316,20493,20660,20721,20903,21122,21315
21,5,Kentucky,Anderson County,21470,21564,21694,21747,21868,21920,22191,22545,22641,22747
21,7,Kentucky,Ballard County,8260,8269,8285,8252,8188,8216,8046,8018,7992,7888
21,9,Kentucky,Barren County,42116,42321,42607,42937,43034,43546,43763,43746,44115,44249
21,11,Kentucky,Bath County,11618,11715,11780,11975,12130,12203,12246,12381,12444,12500
21,13,Kentucky,Bell County,28709,28658,28284,28031,27826,27370,27204,26863,26487,26032
21,15,Kentucky,Boone County,119373,121710,123412,125022,126677,128161,129503,130952,131901,133581
21,17,Kentucky,Bourbon County,19965,20051,20050,20026,20055,20166,20130,20092,20116,19788
21,19,Kentucky,Boyd County,49602,49407,49224,48880,48798,48471,48121,47808,47292,46718
21,21,Kentucky,Boyle County,28674,28800,29020,29632,29810,29782,29965,29972,30082,30060
21,23,Kentucky,Bracken County,8513,8510,8462,8423,8359,8290,8368,8285,8278,8303
21,25,Kentucky,Breathitt County,13857,13789,13612,13527,13366,13363,13177,12929,12787,12630
21,27,Kentucky,Breckinridge County,20043,20272,20074,20042,19883,19979,19982,20131,20309,20477
21,29,Kentucky,Bullitt County,74500,75195,75902,76878,78023,78677,79222,80269,81009,81676
21,31,Kentucky,Butler County,12735,12718,12738,12704,12736,12734,12686,12778,12743,12879
21,33,Kentucky,Caldwell County,13010,13027,12992,12887,12848,12748,12634,12666,12716,12747
21,35,Kentucky,Calloway County,37348,37667,38046,38425,38452,38656,38733,38832,38964,39001
21,37,Kentucky,Campbell County,90623,91241,91246,91423,91971,92124,92257,92878,93464,93584
